1분류,2분류,3분류,3분류_정규화,3분류_유형,기존_세부분류,검색상태,출처URL,메모,차수,같은품종_동일유통명,겉모양_유사품종,단면_유사품종,겉색,과육색,사진대체_가능여부,사진대체_주의사항
곡물,들깨,들기름용들깨,들기름용들깨,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,들깨,들깨,원물,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,생들깨,생들깨,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,잎들깨종자,잎들깨종자,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,제주들깨,제주들깨,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,종실들깨,종실들깨,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,통들깨,통들깨,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,평창들깨,평창들깨,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,햇들깨,햇들깨,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,들깨,홍천들깨,홍천들깨,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,땅콩,검정땅콩,검정땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,고창땅콩,고창땅콩,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,국산땅콩,국산땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,대립땅콩,대립땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,땅콩,땅콩,원물,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,땅콩버터,땅콩버터,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,땅콩분태,땅콩분태,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,버터땅콩,버터땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,볶음땅콩,볶음땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,생땅콩,생땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,서산땅콩,서산땅콩,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,소립땅콩,소립땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,알땅콩,알땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,여주땅콩,여주땅콩,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,왕땅콩,왕땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,자색땅콩,자색땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,제주우도땅콩,제주우도땅콩,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,커피땅콩,커피땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,피땅콩,피땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,해남땅콩,해남땅콩,산지,견과·종실,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,햇땅콩,햇땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,땅콩,흑땅콩,흑땅콩,품종·별칭,견과·종실,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 견과·특용 유통명 13차 보강,13차,,,,,,조건부 가능,
곡물,메밀,단메밀,단메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,대산메밀,대산메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,메밀,메밀,원물,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,메밀국수용,메밀국수용,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,메밀쌀,메밀쌀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,봉평메밀,봉평메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,쓴메밀,쓴메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,약선메밀,약선메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,양절메밀,양절메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,영월메밀,영월메밀,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,정선메밀,정선메밀,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,제주메밀,제주메밀,산지,잡곡,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,타타리메밀,타타리메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,통메밀,통메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,메밀,평창메밀,평창메밀,품종·별칭,잡곡,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,밀,강력분,강력분,품종·별칭,곡류,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,밀,강력분밀,강력분밀,표기변형,곡류,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,기존 '강력분'의 검색용 결합표기 자동 확장,확장1차,,,,,,조건부 가능,
곡물,밀,고소밀,고소밀,품종·별칭,곡류,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,밀,국산밀,국산밀,품종·별칭,곡류,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,밀,군산우리밀,군산우리밀,산지,곡류,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,밀,금강밀,금강밀,품종·별칭,곡류,사용,https://www.nongsaro.go.kr/portal/ps/psa/psab/psabf/spciesRsrchLst.ps?menuId=PS65425,공식 농업자료·국내 실제 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
곡물,밀,김제우리밀,김제우리밀,산지,곡류,사용,https://www.naqs.go.kr/hp/contents/contentsTab.do?menuId=MN30542,국내 대표 산지·지역 특산 곡물·잡곡 유통명 15차 보강,15차,,,,,,조건부 가능,
